year,geography,real_rent,cs_home,real_rent_reindexed,cs_home_reindexed
2015,Boston,312.229,180.684238382323,2.3698595825426945,2.4919626543541895
2016,Boston,322.193,189.12463531301185,2.4454876660341553,2.608371003679584
2017,Boston,333.111,201.759452839847,2.528356736242884,2.782628004197972
2018,Boston,349.525,213.3857922793395,2.652941176470588,2.942976266721877
2019,Boston,360.577,221.45697053205234,2.7368273244781784,3.0542924222563586
2020,Boston,371.505,235.37972018707717,2.8197722960151803,3.2463123377557443
2021,Boston,377.557,272.3237015292591,2.865707779886148,3.75583670264845
2022,Boston,NA,NA,NA,NA
2000,Dallas,162.3,104.07584856617476,1,1
2001,Dallas,167.258,110.11320164792558,1.0305483672211952,1.0580091650937833
2002,Dallas,174.025,113.41215166037259,1.0722427603203943,1.0897067208465903
2003,Dallas,174.317,114.29276167349684,1.074041897720271,1.0981679539305014
2004,Dallas,169.333,115.62559640110858,1.0433333333333332,1.1109743326050339
2005,Dallas,169.15,119.7679739635235,1.0422057917436844,1.1507758583142484
2006,Dallas,171.875,123.57433815199917,1.0589956869993837,1.1873488408160964
2007,Dallas,176.344,124.2147347574245,1.0865311152187307,1.193502012894421
2008,Dallas,184.283,120.18686757984565,1.1354467036352431,1.1548007461445486
2009,Dallas,190.613,117.47240925028875,1.1744485520640788,1.1287192068926157
2010,Dallas,188.413,117.58421675959342,1.1608934072704868,1.1297934956045985
2011,Dallas,190.268,114.7942836052205,1.1723228589032655,1.102986765774296
2012,Dallas,199,118.43204381242268,1.2261244608749229,1.1379397376435494
2013,Dallas,204.655,128.36887081311608,1.2609673444239062,1.2334165186411623
2014,Dallas,212.958,139.15299886173776,1.3121256931608132,1.3370344876242812
2015,Dallas,223.863,151.49135304526692,1.3793160813308687,1.455586047409874
2016,Dallas,235.543,164.34980155831676,1.4512815773259395,1.5791348696409417
2017,Dallas,252.094,176.92986877144276,1.5532593961799135,1.7000088993648232
2018,Dallas,266.378,185.98112193077685,1.6412692544670362,1.7869767529449843
