"","fips","netwp_h"
"868","19163",0.00800519529730082
"869","19165",NA
"870","19167",NA
"871","19169",NA
"872","19171",NA
"873","19173",NA
"874","19175",NA
"875","19177",NA
"876","19179",NA
"877","19181",NA
"878","19183",NA
"879","19185",NA
"880","19187",NA
"881","19189",NA
"882","19191",NA
"883","19193",NA
"884","19195",NA
"885","19197",NA
"886","20001",-0.0154476556926966
"887","20003",NA
"888","20005",NA
"889","20007",NA
"890","20009",-0.0214220602065325
"891","20011",-0.0106261176988482
"892","20013",NA
"893","20015",-0.00999609101563692
"894","20017",NA
"895","20019",NA
"896","20021",NA
"897","20023",NA
"898","20025",NA
"899","20027",NA
"900","20029",NA
"901","20031",NA
"902","20033",NA
"903","20035",-0.0277551785111427
"904","20037",-0.0399072021245956
"905","20039",NA
"906","20041",0.00202029687352479
"907","20043",NA
"908","20045",-0.00458658486604691
"909","20047",NA
"910","20049",NA
"911","20051",-0.0101411212235689
"912","20053",NA
"913","20055",0.0205919593572617
"914","20057",-0.0133520206436515
"915","20059",-0.0681238546967506
"916","20061",-0.0266030468046665
"917","20063",NA
"918","20065",NA
"919","20067",NA
"920","20069",NA
"921","20071",NA
"922","20073",NA
"923","20075",NA
"924","20077",NA
"925","20079",NA
"926","20081",NA
"927","20083",NA
"928","20085",NA
"929","20087",NA
"930","20089",NA
"931","20091",-0.0258504748344421
"932","20093",NA
"933","20095",NA
"934","20097",NA
"935","20099",0.00265106093138456
"936","20101",NA
"937","20103",-0.040497187525034
"938","20105",NA
"939","20107",NA
"940","20109",NA
"941","20111",-0.0320822931826115
"942","20113",-0.0163384731858969
"943","20115",NA
"944","20117",NA
"945","20119",NA
"946","20121",NA
"947","20123",NA
"948","20125",NA
"949","20127",NA
"950","20129",NA
"951","20131",NA
"952","20133",-0.0152969742193818
"953","20135",NA
"954","20137",NA
"955","20139",NA
"956","20141",NA
"957","20143",NA
"958","20145",NA
"959","20147",NA
"960","20149",NA
"961","20151",0.0264929700642824
"962","20153",NA
"963","20155",0.00252830423414707
"964","20157",NA
